"id","name"
1,"Far North District"
2,"Whangarei District"
3,"Kaipara District"
4,"Auckland"
5,"Thames-Coromandel District"
6,"Hauraki District"
7,"Waikato District"
8,"Matamata-Piako District"
9,"Hamilton City"
10,"Waipa District"
11,"Otorohanga District"
12,"South Waikato District"
13,"Waitomo District"
14,"Taupo District"
15,"Western Bay of Plenty District"
16,"Tauranga City"
17,"Rotorua District"
18,"Whakatane District"
19,"Kawerau District"
20,"Opotiki District"
21,"Gisborne District"
22,"Wairoa District"
23,"Hastings District"
24,"Napier City"
25,"Central Hawke's Bay District"
26,"New Plymouth District"
27,"Stratford District"
28,"South Taranaki District"
29,"Ruapehu District"
30,"Whanganui District"
31,"Rangitikei District"
32,"Manawatu District"
33,"Palmerston North City"
34,"Tararua District"
35,"Horowhenua District"
36,"Kapiti Coast District"
37,"Porirua City"
38,"Upper Hutt City"
39,"Lower Hutt City"
40,"Wellington City"
41,"Masterton District"
42,"Carterton District"
43,"South Wairarapa District"
44,"Tasman District"
45,"Nelson City"
46,"Marlborough District"
47,"Buller District"
48,"Grey District"
49,"Westland District"
50,"Kaikoura District"
51,"Hurunui District"
52,"Waimakariri District"
53,"Christchurch City"
54,"Selwyn District"
55,"Ashburton District"
56,"Timaru District"
57,"Mackenzie District"
58,"Waimate District"
59,"Chatham Islands Territory"
60,"Waitaki District"
61,"Central Otago District"
62,"Queenstown-Lakes District"
63,"Dunedin City"
64,"Clutha District"
65,"Southland District"
66,"Gore District"
67,"Invercargill City"
