id,name
1,Northland
2,Auckland
3,Waikato
4,Bay of Plenty
5,Gisborne
6,Hawke’s Bay
7,Taranaki
8,Manawatu-Wanganui
9,Wellington
10,Tasman
11,Nelson
12,Marlborough
13,West Coast
14,Canterbury
15,Otago
16,Southland
